"","likeCount","Comments","Author"
"1089","0","alya toxic itu lu ngentod","EIFFEL"
"1090","0","alya toxic itu omongan kasar","Naufal Razan Santosa23"
"1091","0","plis toxic apan woy","alya"
"1092","1","toxic life","Dark Rafi"
"1093","0","lol bocsh","Famzy"
"1094","0","erik kolim tuh anjing suka jelek jelek kin orang pergi lu sonoh ke papua","Shaqi Akbar"
"1095","0","anjing lu erik kolim kontol anjing","Shaqi Akbar"
"1096","0","hmmm 
gw penasaran kok hatersnya sama semua setiap konten bang erico lim 
trs haters kok subscribe","Strike KNTL"
"1097","0","hi","NadiaPutri"
"1098","0","dih eyesnya pas story kea beraer gitu mua setiap konten bang erico lim 
trs haters kok subscribe","Tasya Kiyowo"
"1099","0","cuma di channel ini gue jadi tambah goblok wkkwkw","AGANS sundanise"
"1100","0","qorygore wkwk","nam bi"
"1101","0","kontol","just a fish"
"1102","0","bang liat tetek kak kimi hime please","faiking gamers"
"1103","0","dih kontol lu chanel mending unsub","Last Gaming09"
"1104","1","lu emang ganteng bang tp lu sombong makanya banyak hathers lu ngerti kan lu ngatain orang bacol sombong lu bacot","Christiano Darren"
"1105","0","bang pubg lagi lo pro","Anantha Al Daffa"
"1106","0","kalo hatters tapi ngesubscribe gmn","NewbieEditor Go"
"1107","0","this is the real king not aahhhha","WHAT IS THAT WHAT THE F*CK IS THAT"
"1108","0","heters njengg","Diaz Hamudha"
"1109","0","anjing tolol ericokontolll 
yg gk suka ericontol like gua anjing","FIWLYF TV"
"1110","1","ganteng banget lu","Vino vlogger"
"1111","0","ini nih content kesukaan gue haters mah bisanya bacot nggak jelas mungkin haters nggak tau ini bukan era dulu pokoknya gue suka channel keagamaan terfamily friendly ini","muhammad adin"
"1112","0","youtube gimana masa ada kontol pake kaca mata ga di sensor","Tebe Pello"
"1113","0","kimi auto colmek","Asyifa Flash"
"1114","0","semangat ae walaupun banyak haters","Lion Zambich"
"1115","0","suka","Kevin Rath"
"1116","0","gua tau rik sifat lu yang asli keep strong bro","iam auschwitz"
"1117","0","haters itu hanya untuk orang yang berfikiran negative aja haha salam dari malaysia semoga sukses selalu erickntl","WaNNaBe H"
"1118","0","elu triak cuma buat ngobatin malu nyampah demi uang kelakian loe lbih rendah dr lacur yg sub bocah anjink semua","Eko Setiawan"
"1119","0","awalnya gue sempet muak liat muka lu nongol rick tp setelah gue sering nonton video lu mendadak gue jd respect  up terus  channel keagamaan terfamily friendly ini","Gamer Kampung"
"1120","0","haters lebih kejam dari ibu tiri u nongol rick tp setelah gue sering nonton video lu mendadak gue jd respect  up terus  channel keagamaan terfamily friendly ini","KV, tv"
"1121","1","yey toxic lagi","Ham squad"
"1122","1","hohoho tidak semudah itu ericko","Mochamad Naufal"
"1123","0","nih manusia atau bangke tikus ya","IR. Onis"
"1124","1","sumpah bang gua terhibur s ya","ThopErs"
"1125","0","ngeteh asu bau memek","Kirito JR"
"1126","0","tai bgt dahmemek","Ogay 05"
"1127","0","santai bang eriko gw ngedukung lo gw soapers suci soapers ter solid terkece teramazing di duniaaaa ig fvckpngk","Yulia Julia"
"1128","0","i am soapers","Dinnur STORNKBOY"
"1129","0","ngakak anjing gw ngedukung lo gw soapers suci soapers ter solid terkece teramazing di duniaaaa ig fvckpngk","Hizkia Setiawan"
"1130","0","bang kok hati lu kuat amat sih gw kalau dikatain rasanya putus hati gw","AMV CH"
"1131","0","aku mah suka sama chenel ini lucu","Antonius Kalam"
"1132","0","viewers ke","David Gunawan"
"1133","0","mphhhhhhhhhhhhhhsssssssss ahhhhhhhhhhhh bu memek","Peott Gamming"
"1134","0","ngefans bgt mas sragen hadir","Agung Gumilang"
"1135","1","fuck kntl","Fly News"
"1136","0","openingnya wkwkwk 
kangen","Merry Ani"
"1137","0","haha orang orang kontol munafik yang ngehujat lu rik","PJzX CHNL"
"1138","0","jadi gini rasanya punya pro haters v","Sempai Gaming"
"1139","0","wkwkwkkw ngakak liat ny 
lucu nihhh lmayan buat ngilangi stress","Joe Swordraiser"
"1140","0","haters itu pupuk jadi makin banyak haters makin subur btw pupuk hhmmm tai yes tai yg bermanfaat","Bambang Nur"
"1141","0","walaupun lu bahasanya kasar terus aga kaya galak galak gitu lu tetep ganteng dan keren terus lu itu orangnya sabar banget itulah alasan kenapa gua ngefans sama cheff juna","Party Tea"
"1142","0","kok ikut ngakak v","Aliyarawkk"
"1143","0","ntah napa gue demen banget yang kayak gini rick gue tau rasanya gimaana puassss bangettt anjeeeggggg","Randomz Gamers"
"1144","0","memek nya kecil awoakwoakwosk","Moza Siregar"
"1145","0","kimcil","joke's on you"
"1146","0","anjing ngakakawoakwoakwosk","RISKY PUTRA RAHMANSYAH"
"1147","0","erickkontol","Official Live Channel"
"1148","0","ngewe","Ivan Gaming"
"1149","0","efek kebanyakan main sabun kan otak nya penuh dengan peju","Ar Ka"
"1150","0","percuma goblok mantul woi dia udah terlanjur rusak peju","Darius SH"
"1151","0","haha gw selalu ngakak liat konten elu rik 
tetap berkarya jangan di anggap para haters 
channel lu menurut gw pling menghibur di antara channel lain 
untuk maslah bahasa manusia memiliki pendirian masing yg ngikut bahasanya eriko ya itu bocah aja yg gk bisa nyaring kata intinya niat lu baik buat menghibur para subcriberlu d
 akun moba analog gw gmail gw subcribe ke elu karna gw suka gaya lu selain tidak pernah membeda bedakan agama lu juga memiliki keteguhan hati melawan para hater bnyak pelajaran sebenernya dari konten elu rik berangkat rikk 
biar makin smengat menghibur kamii 
thanks from shilent squad mobaanalog","Shilent Squad"
"1152","0","hadeh serah lu pade lah orang dia bikin konten kagga ade sangkut paut same lu juga wkwkwkwk biarlah dia berkarya bro gw ngga ngebela sini situ","Budi antonius"
"1153","0","si monyet","siti alfi"
"1154","1","keritikal sekali yah orang indonesia sampe yg punya akun ga ada benernya hahhhahaha  kebanyakan beli mie tp micinnya doang yg dimakan kkwkwkwkwk untuk maslah bahasa manusia memiliki pendirian masing yg ngikut bahasanya eriko ya itu bocah aja yg gk bisa nyaring kata intinya niat lu baik buat menghibur para subcriberlu d
 akun moba analog gw gmail gw subcribe ke elu karna gw suka gaya lu selain tidak pernah membeda bedakan agama lu juga memiliki keteguhan hati melawan para hater bnyak pelajaran sebenernya dari konten elu rik berangkat rikk 
biar makin smengat menghibur kamii 
thanks from shilent squad mobaanalog","Al Bimo"
"1155","0","mulutnya gitu amat v omongannya astaga keknya klo uda di ajak berantem mampus","ute c"
"1156","0","gw subcribe lo lo kocak tp sayang bahasa kasar lo takut nya bikin anak orok salah cerna
ya saran gw sii klo bisa lo batasin penayangan nya untuk anak bawah umur bro
make it hapen and 
goodluck ttp semangat bro","zinga'D Tirtha"
"1157","0","semenjak ntn elu jadi suka ngomong anjing bansatt","dwik achmad"
"1158","0","erick toxic ngasilin duit hatersnya toxic ngasilin apa kontol hahahaharok salah cerna
ya saran gw sii klo bisa lo batasin penayangan nya untuk anak bawah umur bro
make it hapen and 
goodluck ttp semangat bro","Illuminate ML"
"1159","0","jalan ke belanda beli kerupuk
jalan ke belanda beli kerupuk lagi 
ngapain lo jalan jauh jauh ke belanda kalo cuma beli kerupuk bgst","vulture gaming"
"1160","0","emg gila ni orang kapan masuk rsj","Junior Star"
"1161","0","kadang heters tuh ga tau diri anjing bisa ngatain org tp ga ngaca ttep semangat rick","andresuciadi"
"1162","0","jijik","juanda kun"
"1163","0","mantap","Jacka Suandi"
"1164","0","lu kira erick mental kerupuk wkwkw","My Private"
"1165","0","nonton channel erickontolim depan ortu tanpa pake hedset speakers nya gua gedein anjenkkk","Rizaldi nurohman"
"1166","0","semangat bikin videonya lagi bang","Team You and me?"
"1167","0","woi ajg reza arap ke gbk gak","calvin aprilian"
"1168","4","mampir jugak yok wankawan ke channel awak 
support youtuber medan a gua gedein anjenkkk","Raihan Sinaga"
"1169","6","haters make u famous","VtR Robinson"
"1170","1","bang bikin tutorial main lee sin","arts hunt"
"1171","0","ini semacam tutorial menghadapi haters","elita nurlita"
"1172","0","nambah ga","Rezha Leilvandi"
"1173","1","ajg tu kepala besar kebanyakan peju diotaq","Baba Cing"
"1174","1","apa cuma gw doank yg ngerasa
kalo intro nya itu asu bajingan","UCHIHA ITACHI"
"1175","0","eriko lim anjinkkk kok gua suka konten lu anjinkkk bgst bang lanjut terus konten unfaedah gini bang yg jelas bisa memenuhi hidup hahaha","Tysen nerick berley"
"1176","0","woi sekarang era digital ngapain lu kalo gk ngemanfaatin itu goblok emang harus ngajak ytr nyamperin langsung karena dia senior mikir goblok ig wa fb tweet di buat untuk apa mempermudah komunikasi anjink terus dia gk mau buat ytr ya udah kalo lo bisa lakuin aja lah lakuin hal yang lo bisa goblok","M F F"
"1177","0","gw cuma bisa ketawa njir nice buat erickolim","GAMING JAGUAR"
"1178","0","lu pasti akan berubah kak rik amin ya semuanya","Nicholas Chandra"
"1179","0","kak rik gw tau kok lu itu gmna orangnya","Nicholas Chandra"
"1180","0","gw paling suka kaya gini","dimas firmansyah"
"1181","1","waiting for","Fathin Himu"
"1182","0","akhirnya erickolim no limit pros","Zikri TM"
"1183","1","gwe jijik sma ercko gara gara nghina moba kok analog tapi tetap berkarya ya bang ericko ","DroidExtream"
"1184","1","mantap rick gua dukung lu","Muhammad Zaki Aulia"
"1185","0","bang sabar ya","Alexander Alfredo"
"1187","1","wkwk","Khaerul Ade"
"1188","0","sabar ye bang","Ardi Ramadan"
"1189","0","coba liat mata nya","muhammad al Hafizi"
"1190","0","erik itu sebenarnya sedih","muhammad al Hafizi"
"1191","0","halah bacot kontol","Pian Jawa"
"1192","0","gaskannnn kontol","Made Chanel"
"1193","1","orang pada buta ngatain ericko gk ganteng","Kaiza Warfare"
"1194","0","ngk usah marah","Farnesty Nesty"
"1195","0","sukses bro","fz CH"
"1196","0","belum bego","Fathin Himu"
"1197","0","sudah lewat","Famzy"
"1198","0","bang bikin rap paket hat komen yang setuju like","Dika Pras"
"1199","0","mantap intro nya v","Afrida Afrida"
"1200","0","rik pentil kita mirip","Aditya Raka"
"1201","0","sbnrnya yg gua suka itu ke toxican lu bang gblg koplak gmana gtu wkwkwk","Muammar Adam"
"1202","0","toxic lg bang wkwk","Muammar Adam"
"1203","0","ralat bang pas menit kata era globalisasi harusnya pake kata era digital 

 
salam wibu v","Yuk Hijrah!"
"1204","0","pokoknya erick harus stop ngomong kasar
banyakin toxic","THER EAST"
"1205","0","masih kayan arap sama lo lim 
arap jt subcribertoxic","anggi354 djokam"
"1206","0","ngakak ajg v jt beli subs v wkwk ga ada otak ajg v gblk sampe ke dna tulang v","Iis Wew"
"1207","0","ric lo bukan king lagi but you only queen crrot","Chisevloo YT"
"1208","0","tapi gua tetep supprort lu bang tetep menjadi chnel yg bermutu ya bang oke","Frislly pp"
"1209","0","ka eri kolim bahasa nya dijaga","Frislly pp"
"1210","0","asin kremes dong wkwkwkwk ngangkang","Game Gatan"
"1211","0","awto ngakak w bang tapi semangat ea bang ericko ntol eh lim mksdnya","Thin Big Curly"
"1212","1","gua comment kayak gitu dah biar masuk di kontennya ericko lim","Bryan Thejakusuma"
"1213","0","btw gw cukup terhibur sih sama channel ericko lim karna ternyata gw baru sadar ada keluarga yg seasik mereka dan se gokil mereka kirain gw cuma keluarga gw doang yg sering toxic dab kadang konyol ternyata ada juga wkwkwk thx bang karna channel lo ini gw jadi makin syg sama keluarga gw dulunya sempet gw risih sendiri akan kekonyolan dan kegokilan keluarga gw ternyata gw sadar seharunya hidup itu harus selalu di syukuri agar qt mengerti arti dari kata cuku hati melawan para hater bnyak pelajaran sebenernya dari konten elu rik berangkat rikk 
biar makin smengat menghibur kamii 
thanks from shilent squad mobaanalog","mr. x"
"1214","7","netijen cuma bisa komen gk mikir pake otak kerja keras seorang youtuber yg ingin mengekspresikan idenya","Meme Chan"
"1215","0","erickontol muka kaya tutup botol fanta belagu lu","Fadiaz Gaming"
"1216","0","lu ngemis subscribe kan 
nih gua subscribe pepek
tapi gua mau nanya nih boleh kan muka lu kok jelek amat sih kontol tolong lu jawab ya anjing kontol pepek","Nyuzekaa PRO"
"1217","0","kapan botak anjing","Dandy Ahmad"
"1218","0","natizen berpikir lbh berbeda kwkwkwkwk hilih kintil","andysuryap Official"
"1219","53","sudah dong jangan ngejek ericko kasihan coba kalian diejek kaya dia pasti sedih memang dia pernah bilang suscriber dan haters sebelum baca komment ini dia bilang kasar kalian","Darel Davin"
"1220","0","heyyy","President Kw"
"1221","1","heaters gak menghargai kerja keras k lim","otaku nimesub"
"1222","0","panutanqk menghargai kerja keras k lim","MAYSTRO"
"1223","0","ngakak nntnnyaa v semangat trs bang","krtksrsrgr _"
"1224","0","aku jonton channel ini selaku ketawa wkwkwkwk bagi aku ini sangat menghibur tetapi ads negatif nya saja dikit","Winsen Winsen"
"1225","0","gua setiap nnton video lu mau ngakak aja bang udh kya lgi nonton stand up comedy ads negatif nya saja dikit","Casper'96"
"1226","0","bisa diliat dah banyak orang yang sensitif skrng klo gk mau ya gk usah nnton lah cok simple wkwkwk","Fabio Biox"
"1227","0","mohon bang jangan ngomong kotor","Winsen Winsen"
"1228","0","nama gua jefri","Jefry PK"
"1229","0","sabar bang","MZPCL Yo"
"1230","0","baik
noh gw dah komen baik","ngn tod"
"1231","0","bang rik
jangan menyerah
haters tu cuman kya kontol
mending lo netep ke pendirian lo bang","Joedie Junior"
"1232","0","auto counter njing wkwkwk
coleb sama qorygore lim","oreki hotarou"
"1233","0","ngakak v","Tommy Felix"
"1234","1","uzumaki kontol usama","EBWI GAMING"
"1235","0","wkwkkwkwkwk 
","Mikhael Ariffin"
"1236","0","ada iklan ngak gue skip iklan menit detik ngak gue skip skip","GemerzDemon Yt"
"1237","0","maksa menit anjg v","Sky Night"
"1238","1","jangan biarin orang lain membuat lu gak yakin ngejar mimpilu terus bermimpi terus berusaha","Swandie ee"
"1239","0","welcome back intro erickolimprosnolimit","Andi R34"
"1240","0","heters lebih dari sampah bum","Alws` Team"
"1241","0","udh bang erik haters mh diemin ae yg penting semangat bang dalam youtube","Lol Bit"
"1242","0","gua setuju bang ama omongan elu nettijen itu sirik ama lo bang dia bisa ngehujat lo tp belum tentu hidup dia udh bener mereka para hatters cuma bisa ngeliat lu kayak gini sebenernya mah engga gitu ya bang v
malah gua resep kelakuan lu yg kaya gitu ga jaim","Jangkung Gaming HD"
"1243","0","kalou bisa likenya","Maulana Agani"
"1244","0","bilang komennya hate smua emg yg suka harus komen ya","Zeleon Jr"
"1245","0","kritik ngomong yg sopan lah boss toxic boleh tpi inget lah jngn kelebihan bang","Star Viper"
"1246","0","betulll hapus aja tu chenel nggk mutu","Zigi Wigi"
"1247","1","hahah salam sopers","Wahyu Tarigan"
"1248","0","siapa nonton sambil tidur","RZ tutorial"
"1249","0","tolol","ALDI NOUFALDI"
"1250","0","seberapa gereget lu 
kmrn gw nonton erickolim
trus 
volume nya gw fullin","Rafie Danadyaksa"
"1251","0","draw life lah masak jt sub kagak ada draw life","Roronoa Zoro"
"1252","17","kalo gak suka sama bang erik ya unsub simple kan ajg sedia payung sebelum hujan sedia cermin sebelum ngomongin orang","Arif Raman Hakim Arif"
"1253","0","apa cuman gua setiap video erik jarang dapet iklan v","Hertz Equalizer"
"1254","0","ada qorygore nya xianyieng wkwkwkwk","Pasha Yudha"
"1255","0","semangat bang walau gw sering manggil lu erikontolim tetap semangat bang terus hibur kita semua","Dewa Fraya"
"1256","0","rik diss aja heters pake lagu dj deon tai kambing tetap semangat bang terus hibur kita semua","MhmmdRizky MhmmdRizky"
"1257","0","i love your toxic tetap semangat bang","MuhRomi Haspiadi"
"1258","0","wkwkwk geblek","samcoy ridit"
"1259","0","haters ko jahat mereka jahat karna mereka takut generasi anak muda bakalan ngikutin gaya lu jauh dari norma sopan dan mendidik","Asfa Romadhon"
"1260","0","kapan mau collab sama agung hapsah semenjak gua lihat snapgram lu janji mau collab sama agung hapsah gua nunggunungguin","Riyadillah"
"1261","0","anak sule ya lu","Taufiq Rahman"
"1262","0","sumpah gua bukan haters tapi juga bukan subscriber boom","Chisevloo YT"
"1263","0","emang lo kya bangsat buat lagu sukanya nyindirin orang wkwk","Ikhwan Arzillah"
"1264","0","waduh ada qorygore tuh menit","Akasha Channel"
"1265","0","apakah dia kakaknya bowo tok tok","ireng hitam"
"1266","0","goddem","RA Kahfi"
"1267","0","teman teman hari ini aku ulang tahun  ucapin apaan ke gitu lu janji mau collab sama agung hapsah gua nunggunungguin","Julpan JUL"
"1268","0","jt subs livestream coli yang setuju like bro","Dhityas"
"1269","0","gmna yha kontlo mau komen apa gue b ngs t","WTF TV"
"1270","0","ngaqaq kontlo mau komen apa gue b ngs t","Bayu Krisna"
"1271","0","goblok","darkpostsad"
"1272","0","instropeksi diri lah balesnya itu kasih solusi baik tiap njawab kok baper","NnandaA 1006"
"1273","0","sabar bang kontoll","Ibnu Yusufa"
"1274","0","apa lu tau kalo video lo itu bisa di tonton anak di bawah umur lu aja bikin video gk mendidik banget pake anjing segala kalo mau pake batas usia lah gblk bisa rusak anak bangsa","Ecan Motovlog"
"1275","0","jamsker anjir","Ecan Motovlog"
"1276","0","b aja","OnE D"
"1277","0","kok gila yha heters nya wkwkkww","Muslimin Lupi"
"1278","0","gw yakin pasti walaupun ada yang bilang channel ini gk bermutu mendidik pasti dia tetap nonton v","FarraeL CH"
"1279","0","biarin tuhh hateres fuck hhhhh","Edmond TV"
"1280","0","bang bikin video challange sehari gak toxic","Daffa Octafian"
"1281","0","tenang aja rik semakin banyak haters lu bahkan semakin banyak dikenal oleh orang bagi gw vidio lu cuma buat gw ketawa ketawa aja gitu pokonya mah sukses terus buat lu rik","LIAN HERBAL"
"1282","0","why we still here
just to suffer","Internet Positive"
"1283","0","ericko","FarraeL CH"
"1284","2","haters nya dek dek an","Fajarsaputra fajar"
"1285","0","hehehe erickolim vs reza oktovian","MELTT BER"
"1286","0","ngendtood 
nih palkon di besarin pake susu sapi bukan susu asi anying","Mr Pecundang"
"1287","0","lu ganteng kok rick ulala","Z Power King"
"1288","0","oiya elu bilang channel dengan jt subs gamungkin sub bot 

oiya pantengin dulu tuh t series v pewdiepie 

t series sudah terbukti karna make sub bot sampe jt subs itu yg diblg gamungkin 

cuma ingetin bg disini bukan orang yg nonton tapi banyak yg nontonin konten elu 

so gue saranin close channel lu","IFFANDO"
"1289","0","suka bang","Atuy Free"
"1290","0","bnyk bacot","joko anjing"
"1291","0","cara ngentot gimana","Habil Gaming"
"1292","0","lagi menikmati ke tololan lu malah ada iklan","Pizar Kestrap"
"1294","0","gx tak pencet kecepetan ngitunya cok klan","Hellen Putra"
"1295","0","smangat bang erick slow heters mahh biarin aja lawan lewat karya bang","RICOX 163"
"1296","1","bau memek kimi hime","Om BURHAN"
"1297","0","erickolim kontol","Muel Purba"
"1298","0","erikco lim asu hina reza coba kamu ku hina pasti ngadu mama","mobile legends Keluarga Savage"
"1299","0","bacot","mobile legends Keluarga Savage"
"1300","0","rokusi nai lemah goblok","mobile legends Keluarga Savage"
"1301","0","darel davin bacot jing","mobile legends Keluarga Savage"
"1302","0","kontol onta","Ryodan gird squad"
"1303","0","lu mau sok edgy gitu sok ngelawak terus dibilang gk lucu malah siapa yang ngelawak anjenk","Famzy"
"1304","0","famzy yg ngelawak siapa anjenk","ngn tod"
"1305","0","g lucu","Famzy"
"1306","0","kntl kok lagu ed nya kelamaan","Mikhael Ariffin"
"1307","0","dafuq","Famzy"
"1308","0","itu bukan kritik kalau cara ngomongnya menyimpang","Famzy"
"1309","0","zigi wigi ada tombol mode terbatas di youtube","Famzy"
"1310","0","famzy ngomong apa lu tong","Zigi Wigi"
"1311","0","there is a button called restricted mode","Famzy"
"1312","0","arif raman hakim arif bacot ahh sok suci kontol","Ahmad Zidan"
"1313","0","ntar kyk atta","Famzy"
"1314","0","lah mereka yang salah sendiri kenapa mereka gk pencet restricted mode","Famzy"
"1315","0","chisevloo yt mantap","Famzy"
"1316","0","famzy trus nenek nenek makan 
me k","Chisevloo YT"
"1317","0","trus","Famzy"
"1318","0","apaan","saadega"
"1319","0","selamat mendekati hari kematian","Famzy"
"1320","0","ga perlu di close channel nya orang nya yang pake youtube itu harus bijak dan udah tahu pasti ada yang namanya restricted mode","Famzy"
"1321","0","semua youtuber tanpa haters gk bkl maju ykin dh klau ada youtuber tanpa haters ksih tau gw","Moreno Adam"
"1322","0","kita itu sebagi manusia punya kontol","Master Rofi"
"1323","0","hatters make you famous bang","CrotQ"
"1324","0","ngakak","Walid Ulya"
"1325","0","bagi gua lu kerennn bggg hhhhh","Mr.Ghollep Geming"
"1326","0","haters is just fuckin hate you bego","Musofa Ibrahim"
"1327","0","bang gw punya temen mirip banget lu asli ntar gw kirim dah lewat dm kwkwters ksih tau gw","Tryo WekWek"
"1328","0","kwkwkwk ngakak anjirrrr good lah soapking kwkwkw kirim dah lewat dm kwkwters ksih tau gw","Tryo WekWek"
"1329","0","semangat bng anjirrrr good lah soapking kwkwkw kirim dah lewat dm kwkwters ksih tau gw","Achmad Wahyudi"
"1330","0","sbrnya sih gua ngk mau hina cman mulut lu kotor banget makan sampah dmna sih","Rezy Indo_"
"1331","0","contentlu slalu ngehibur apapun itu topiknya maju trus bang jan dilemesin","Anna Hasley"
"1332","0","lu itu malaikat apa adanyaa gw suka lu yang apa adanya yang suka ngetoxic dan sgala ttng lu yang ga punya urat malu ","Anna Hasley"
"1333","0","soalnya emang karakter lu emang gitu jadi ya wajar juga digituin juga sama orang wakaka tapi itu yang bikin rame channelnya","HM Kuadrat"
"1334","0","gua sekarangg kurang seneng ama ni chanel dulu gua subscribe gara gara banyak konten wibu sekarang dah jarang jadi gua unsub dulu","muhammad wahyu hidayat"
"1335","0","yang sabar aja kak eriko hehehe


namanya juga fans tertunda v","Dimas Wijaya"
"1336","0","channel gak punya faedah yg sub itu kebanyakan org yg hidupnya gak jelas","Elzaries Decodust"
"1337","0","gw pribadi sih gak masalah karna gw punya otak yang baik jadi gw bisa pilih mana yang baik buat gw dan mana yang buruk untuk diri gw","Music in My life"
"1338","0","sumpah bang dari pada gua nonton video lo lebih baik gua nonton bokep udh melet kayak kadal gurun untung baru x gua nonton nya itu juga muncul di beranda yt gua gua juga ngakak denger memek ngilu hahahaha untung org kayak lo cuman di hujat geh bukannya sadar malah ketawa hahahaha lucu","muhammad hidayat"
"1339","0","tetap erick yg pling the best v","Rizal Plend"
"1340","20","anjing demi youtube rewind ni iklan kaga gua skip bangsat","Aprian Fillah"
"1341","0","abang gua tu bijak amat buat para hatres jgn pada comen cuk njing","Jacob_ Doriz"
"1342","0","baca terus colinya kapan bgst","Tomi suhendra"
"1343","0","plis baca k nt l knp loo gilaa sihhh 
katanya keagamaan tpi di youtube kata anj ng mem k k ntol bisa ganti ga anjing 
jgan mubajir taiiiiii baik sedekah","arsyad amat"
"1344","0","china kontol ati ati lu ketemu dijalan selip ada yg nujah lo bos","Mantul bosku"
"1345","0","kontol lu yaa","1326 Channel"
"1346","0","kontolllllll","sempak miber"
"1347","0","bang dicariin lucifer tuh","Bro Arie"
"1348","0","bagi gua sihh gua enjoy enjoy aj toh bisa bikin gua ketawa","Kemod skp"
"1349","0","mkanya bahasa kotor nya kurangin bang biar yang nonton ikutan seneng","Riancoops Pribadi"
"1350","0","rok kontol sombong bnget","Bojes Hassan"
"1351","0","wkwk kocak lo lim","adu duu"
"1352","1","wkwkwkwkw kocak ajg","Bg SIMON"
"1353","0","bang like komen gw napa","aldi rizeki"
"1354","0","iklannya gak bisa di skip kontoll","Fahimul Fuad"
"1355","0","bukan fans bukan juga haters dan gua jijik sama si arap cman si erick kyanya ada benernya haters uang wkwkwk","Mahsya Shinoda"
"1356","0","tanpa skip njiir","Mas Akong"
"1357","0","eehhh lu gak malu ngejilat ludah sendiri ngatain moba kok analog tapi maen ml wkwk hamba edsen cuk demi duit dan ngartis sampe makan jembut bikin malu aja","indrawan eko"
"1358","0","woy erikotolim lu mau sucrieb lu banyak bagi link bokep","Muhammad Fauzan"
"1359","0","kontol gue gede bang nge gay yuk","Ramdhan Aja"
"1360","0","kontol memek anjinv","Asep Sugi"
"1361","0","collab sama qory","Baltazar Gaming"
"1362","0","masih ada aja yg nguruai hidup org urusin hidup lo masing aja sudah bener apa kagak 
malah ngurusin org 
mau dia bodoh kek
mau dia goblok ke
ko kalian yg sewot 

gua mah malah ketawa aja liat si dia tung org kayak lo cuman di hujat geh bukannya sadar malah ketawa hahahaha lucu","Muhammad Esha"
"1363","0","channel tertolol","Lisan Channel"
"1364","0","jujur gua ngakak pas menit ke v","The Constantine"
"1365","0","yg gasuka yaa gausah di tonton kontoll","Pacman Speed"
"1366","0","hater nnton juga wkwkwkw","Yatsumune Kuze"
"1367","0","plagiat erpan editing ny","Rend Gaming"
"1368","0","heaters tolol lu jelekin erick sama artinya lu ngasi konten ke erick dan ocehan klean jadi uang goblog","Widi ZENIN"
"1369","0","setelah saya menonton video ini saya dapat simpulkan bahwa ericontol lim pantas mendapatkan penghargaan sebagai manusia terkontol abad sekian","Boketa Muhammad"
"1370","0","doi anaknya baik full logic dan ga nyusahin orang itu karakter identitas dia maju terus bang erico lim buat hiburan disaat kerja sampai lupa beban kerjaan sukses","Arif Gigih"
"1371","0","iklannya bayak betool","iJodhy GT"
"1372","0","chanell yt asuuu  tapi gue fans lo bang lanjutkannnnkarakter identitas dia maju terus bang erico lim buat hiburan disaat kerja sampai lupa beban kerjaan sukses","Zulfa Setiawan"
"1373","0","mona kok kontol
memek","iin Inayah"
"1374","0","banyak yg bilang chanel ini gak mendidik iya memang gak mendidik suruh siapa lo tonton trus lo tiruin kata katanya oon kalian koment yang kotor kotor apa gak sama aja kayak dia oon berarti kalian sama paoknya kayak dia oon dia paok mungkin cuma di chanelnya dia aja mungkin kalian yang di luar sana lebih paok dari dia makan taik sendiri mungkin atau ngeremas tocil di tempat umum mungkin itu kan kelakuan yang paok cukup paok paok kali jadi para kalian yang suka koment kotor ya di jaga lah omongongannya mungkin dengan bahasa yang lebih sopan dia bisa ngerubah sedikit konten dia tapi jujur aku terhibir dengan semua tingkah bodohnya tanpa harus meniru kata dan tingkah bodohnya karna ya memang paok aja dia buat aku ngakak saran aja buat bg eriko jangan buat konten yang sensitif di negara tercinta kita ini bg udah banyak contohnya semoga sukses buat bg ericko dan semoga capek dengan membuat konten kayak gini dan semoga lebih creatif untuk membuat konten tanpa harus memakukan tindakan yang sangat paok dan menghibur yaeela bacotnya panjang peace 
oh iya bagi kalian yang gak ngerti paok itu apa paok itu pengertiannya bodoh kalok bahasa medan 
paok kali klenn gitu aja gak tau iya paok paok kaliiii cukup paokk","dicky johandi"
"1375","0","kok ngakak ya","Gilang ramadhan Gilang"
"1376","1","lu nyari duit dari youtube duit lu hasil nya ga barokah rik","Arrya Wigunna"
"1377","0","gara gara ini gue nge subscribe lu masa v lucu anjir v","Jeon Kirae"
"1378","0","wkwk ngakak gua liat lu rick v","Safan Masera"
"1379","0","pasti ada iklan gue nggak pernah gue skip","goweng jawa"
"1380","0","saya syang erick","flaky chan"
"1381","0","smoga sukses bang buat vidio yg lucu lagi salam shoapers dari semarang v","M Rizki"
"1382","0","ngakak nontonya wkwkwk hiburan","MOCHES21"
"1383","166","haters kontol gua bela lu rickwKagi salam shoapers dari semarang v","Bonon On the week"
"1384","0","semoga sukses terus bang aku suport abang","Kids Gaming"
"1386","0","kalo gak suka jan di liat anjing mudah kan","Adam SIdik"
"1387","0","nice mungkin kata kata nya jadi motivasi","Rizal Irfandi"
"1388","0","ngakak untuk haters wkkw","rah mat"
"1389","1","mohon bersabar ini ujian","Deadly blade"
"1390","0","wkwkw ngakak bgst sukses terus rik lah gaush dipirin bangsat heters mereka aja pada tolol ga bisa berkarya cuman ngomenin negatif karya org","Darma Dwiguna"
